case,old_mode,old_f1,new_f1,old_precision,new_precision,old_recall,new_recall,delta_f1
test_MS206_V100,SED,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
test_MS206_V200,SED,0.5205,0.0000,1.0000,0.0000,0.3518,0.0000,-0.5205
test_MS206_V400,SED,0.6907,0.7306,1.0000,0.9439,0.5275,0.5959,0.0399
test_MS206_V1000,BASE,0.6622,0.8033,0.9431,0.9768,0.5102,0.6822,0.1411
test_MS206_V1000,SED,0.9395,0.8033,0.9030,0.9768,0.9791,0.6822,-0.1362
test_MS5_V150ms_inc,BASE,0.4290,0.0000,0.9275,0.0000,0.2790,0.0000,-0.4290
test_MS5_V400ms,VON,0.6201,0.7984,0.5679,0.9621,0.6828,0.6823,0.1783
test_MS5_V400ms,PRESSURE,0.8947,0.7984,0.8981,0.9621,0.8913,0.6823,-0.0963
test_horizontal_layers_4,BASE,0.7387,0.4684,0.9066,0.9520,0.6232,0.3106,-0.2703
test_horizontal_layers_4,SED,0.7750,0.4684,0.8476,0.9520,0.7139,0.3106,-0.3067
test_inclusions_1_2,BASE,0.5650,0.6934,0.5194,0.9408,0.6194,0.5490,0.1283
test_inclusions_1_2,SED,0.5969,0.6934,0.5230,0.9408,0.6952,0.5490,0.0965
