case,old_mode,old_f1,new_f1,old_precision,new_precision,old_recall,new_recall,delta_f1
test_MS206_V100,SED,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
test_MS206_V200,SED,0.5205,0.8130,1.0000,0.8367,0.3518,0.7906,0.2925
test_MS206_V400,SED,0.6907,0.8736,1.0000,0.9471,0.5275,0.8107,0.1829
test_MS206_V1000,BASE,0.6622,0.8632,0.9431,0.9725,0.5102,0.7761,0.2010
test_MS206_V1000,SED,0.9395,0.8632,0.9030,0.9725,0.9791,0.7761,-0.0763
test_MS5_V150ms_inc,BASE,0.4290,0.0000,0.9275,0.0000,0.2790,0.0000,-0.4290
test_MS5_V400ms,VON,0.6201,0.8849,0.5679,0.9917,0.6828,0.7989,0.2648
test_MS5_V400ms,PRESSURE,0.8947,0.8849,0.8981,0.9917,0.8913,0.7989,-0.0098
test_horizontal_layers_4,BASE,0.7387,0.7639,0.9066,0.9756,0.6232,0.6277,0.0252
test_horizontal_layers_4,SED,0.7750,0.7639,0.8476,0.9756,0.7139,0.6277,-0.0112
test_inclusions_1_2,BASE,0.5650,0.6533,0.5194,0.9648,0.6194,0.4939,0.0883
test_inclusions_1_2,SED,0.5969,0.6533,0.5230,0.9648,0.6952,0.4939,0.0564
