case,old_mode,old_f1,new_f1,old_precision,new_precision,old_recall,new_recall,delta_f1
test_MS206_V100,SED,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
test_MS206_V200,SED,0.5205,0.9645,1.0000,0.9853,0.3518,0.9446,0.4440
test_MS206_V400,SED,0.6907,0.9804,1.0000,0.9805,0.5275,0.9802,0.2897
test_MS206_V1000,BASE,0.6622,0.9892,0.9431,0.9907,0.5102,0.9876,0.3270
test_MS206_V1000,SED,0.9395,0.9892,0.9030,0.9907,0.9791,0.9876,0.0497
test_MS5_V150ms_inc,BASE,0.4290,0.0034,0.9275,0.0017,0.2790,1.0000,-0.4256
test_MS5_V400ms,VON,0.6201,0.1710,0.5679,0.0935,0.6828,1.0000,-0.4491
test_MS5_V400ms,PRESSURE,0.8947,0.1710,0.8981,0.0935,0.8913,1.0000,-0.7237
test_horizontal_layers_4,BASE,0.7387,0.1097,0.9066,0.0580,0.6232,1.0000,-0.6290
test_horizontal_layers_4,SED,0.7750,0.1097,0.8476,0.0580,0.7139,1.0000,-0.6654
test_inclusions_1_2,BASE,0.5650,0.1816,0.5194,0.0999,0.6194,1.0000,-0.3834
test_inclusions_1_2,SED,0.5969,0.1816,0.5230,0.0999,0.6952,1.0000,-0.4153
