case,n_frames_evaluated,precision,recall,f1,accuracy,tp,tn,fp,fn
test_MS206_V100,295,0.02852634935294829,0.2946286622757211,0.052016399851639486,0.9875942999738618,5189,15051570,176713,12423
test_MS206_V200,280,0.09583403299443334,0.38434073264634505,0.15341465270205157,0.9769303170272579,30248,14106598,285381,48453
test_MS206_V400,265,0.9999767643596258,0.44724225607770596,0.6180569185475957,0.9883485518746534,129109,13406784,3,159569
test_MS206_V1000,210,0.9508376239686288,0.48609570026638577,0.64331179863021,0.9654884681761097,337767,10140689,17464,357090
test_MS210_V400,265,0.9494138376600494,0.4352693573681217,0.5968885193068072,0.9800720165397816,202059,13220483,10766,262157
test_PBX1_V400_true,180,0.13291789660979436,0.6683222777128162,0.22173623904007375,0.7231093954580342,366937,6359846,2393692,182105
test_PBX_2_V400,260,0.5677085879258449,0.5770829186238667,0.572357371580227,0.7894740367312493,1893068,8715142,1441509,1387341
test_MS5_V150ms_inc,285,0.9246961162170175,0.22235688315391744,0.3585057471264368,0.9992421796737544,3119,14714804,254,10908
test_MS5_V400ms,265,0.9645027376594331,0.5691525207422544,0.7158703514292565,0.9788038595257628,365697,13039477,13459,276832
test_emergency_horizontal,265,0.9978246917541933,0.5347334410339257,0.6963132028142176,0.9794033280359593,323387,13089997,705,281376
test_horizontal_layers_3,350,0.2828359608436371,0.6672801708373152,0.3972794945324724,0.9241012032606623,452464,16263002,1147276,225608
test_horizontal_layers_4,360,0.93968300872429,0.5993582679618852,0.7318930155725077,0.9844722646835609,394322,17921942,25311,263585
test_inclusions_1_2,355,0.5523859515650255,0.5862055592378964,0.5687934831412628,0.945036710851592,665076,16673281,538930,469468
test_inclusions_2_2,340,0.9686128209792647,0.604542947090098,0.7444501825813346,0.9602644389734765,1016996,15856329,32955,665260
test_inclusions_3_2,350,0.6241390214206738,0.6378800245128349,0.6309347161852771,0.9249362711358415,1160594,15569977,698918,658861
test_inclusions_true_V400,215,0.28248911514046104,0.5337862167410399,0.3694557219897484,0.9489961449554355,166031,10378659,421712,145013
